username	main	talk	user	usertalk
Ga.hilton	41	0	0	0
Gabeboy	1	0	0	0
GaboComodoro	3	0	0	0
GabrielaQuo	3	0	0	0
Gagawu	1	0	0	0
Gaherfindahl2	11	3	0	2
Gaianchild	1	4	7	1
Gaius Octavius Princeps	373	22	11	13
Gammarelation	3	0	0	0
Gand0rk	3	0	0	0
Gangohi1	3	0	0	0
Gapkid	7	0	0	0
Garethbuk	6	0	0	0
Garethcolin	3	0	0	0
Garethfc	6	2	8	0
Gary.van.domselaar	4	0	0	0
Gascat21	2	0	0	0
Gazoli9	4	6	0	1
Gbanos	6	1	0	0
Gcdinsmore	7	0	0	0
Gcfan1871	2	0	0	0
Gdp204	1	0	0	0
Ge0rG	1	0	0	0
Gecrsie	2	0	0	0
Gemwise	12	0	0	5
Genesileikeze	7	0	0	0
Genorp	3	0	0	0
Geofftech2	27	0	0	0
George Abaris	4	0	1	0
Georgialovesgeorgemichael	8	0	0	0
Gerardohc	5	0	0	0
Geromega	1	0	0	0
Gersh111	56	0	0	0
Gfs6gradeA	16	0	0	0
Ghostlikeswayze	2	0	0	0
GhoulCatcher	4	0	2	1
GiancarloGotta	2	0	0	0
Giannajihad	3	0	2	0
Giantbuttplugs	2	0	0	0
Giapxy	2	0	0	0
Gigacannon	3	2	0	0
Gijs Kruitbosch	56	15	0	2
Gilgamesh417	1	0	0	0
Girlshutit	2	0	0	0
Glassatron	2	0	0	0
Globaljuggler	20	3	1	0
Glocax	1	2	0	0
Gmbc1944	1	0	0	0
Gmgmoir6	2	0	0	0
Gnickett1	99	0	0	1
Godsandfairys	1	0	0	0
Godstybba	3	0	0	0
Golbarg86	1	0	0	0
Goodbye Galaxy	28	15	2	6
Goof-Goof-Man	1	0	0	0
Gooflee	1	0	0	1
Googlechrome23	1	0	0	0
Goose16	3	0	0	0
Goteamedward	5	0	0	0
Gperisa	1	0	0	0
Gpratten	4	0	0	0
Gq9797	9	0	0	0
Grandbubba	1	0	0	0
Grantchen16	1	0	0	0
Grantmister555	17	5	0	0
Graphicdesignccxiii	1	0	0	0
Graroo	1	0	0	0
Gray-h	2	0	0	0
Graziana Manno	3	0	0	0
Grbrock	1	0	0	0
Greatangel79	6	0	0	0
Greddyusa	4	0	0	0
Greeneyedsusan	6	0	0	0
Greenlypolaris	1	0	0	0
Greentheresa	2	0	0	0
Greglocock	773	339	2	97
Gregoriev	4	1	0	0
Gremlin26	4	0	0	0
Grey74	6	0	0	0
Grietje	12	2	1	0
Griffin070	3	0	0	0
Gringersim	1	0	0	0
GRob36	2	0	0	0
Grocerylist	2	0	0	0
Grumpycraig	17	1	0	0
Gsganesh	1	0	0	0
Gstsqs	1	0	0	0
Guen0047	1	0	0	0
Guillea	2	0	0	0
Guillescanner	1	0	0	0
Gulftexop	1	0	2	1
Guriue	2	0	0	0
Gurukv	3	0	0	0
Guy perterson 1223	2	0	0	0
Gwredit	1	0	0	0
Gymnaststar123456	2	0	0	0
Gypjanitor	1	0	0	0
Gyrolin	1	0	0	0
Haaal	1	0	0	0
Habiby56	1	0	0	0
Haigault	1	0	0	0
Hallowiki	10	0	0	0
Hammodt	12	1	0	0
Hannikan	1	0	0	0
Hans Adler	2231	1254	124	799
Hanslanda	1	0	0	0
Haochu	10	0	0	0
Hardcoreballa69	8	1	0	0
Hardyplants	1669	239	6	440
Hari makaay	3	0	0	0
Harishnairr	5	0	0	0
Harleyswedler	22	0	1	0
